resume_text,quality
"Graduate with knowledge of Basic Python, C++, C, HTML seeking entry level opportunity.",1
"Experienced professional with skills in Machine Learning, TensorFlow, NLP, Python, Docker and over 9 years of experience.",2
"Graduate with knowledge of Excel, JavaScript, HTML, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of Basic Python, JavaScript, Java, Communication seeking entry level opportunity.",1
"Graduate with knowledge of HTML, Communication, C++, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of C, JavaScript, CSS, Java seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in Deep Learning, TensorFlow, Cloud, PyTorch, SQL and over 9 years of experience.",2
"Experienced professional with skills in TensorFlow, Python, PyTorch, Cloud, Machine Learning and over 6 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in Data Analysis, PyTorch, Deep Learning, Cloud, Machine Learning and over 10 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in TensorFlow, SQL, Python, NLP, PyTorch and over 3 years of experience.",2
"Graduate with knowledge of Java, CSS, C, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of Communication, C, Java, Excel seeking entry level opportunity.",1
"Experienced professional with skills in Machine Learning, Python, Cloud, NLP, SQL and over 8 years of experience.",2
"Graduate with knowledge of C, Excel, C++, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of Communication, CSS, C, HTML seeking entry level opportunity.",1
"Graduate with knowledge of C, Java, HTML, Communication seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of Java, Basic Python, Communication, Excel seeking entry level opportunity.",1
"Graduate with knowledge of Java, C++, HTML, Communication seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of Excel, HTML, C, JavaScript seeking entry level opportunity.",1
"Experienced professional with skills in Docker, Deep Learning, NLP, TensorFlow, Python and over 6 years of experience.",2
Fresher with no significant technical experience.,0
"Graduate with knowledge of C, HTML, Java, C++ seeking entry level opportunity.",1
"Experienced professional with skills in Docker, Data Analysis, Python, NLP, TensorFlow and over 8 years of experience.",2
"Graduate with knowledge of CSS, Excel, HTML, Communication seeking entry level opportunity.",1
"Graduate with knowledge of Excel, Communication, HTML, C seeking entry level opportunity.",1
"Graduate with knowledge of HTML, CSS, C, JavaScript seeking entry level opportunity.",1
"Experienced professional with skills in SQL, Docker, NLP, Cloud, Data Analysis and over 4 years of experience.",2
Looking for job opportunity with no significant technical experience.,0
Fresher with no significant technical experience.,0
"Graduate with knowledge of CSS, C, Basic Python, Excel seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in Deep Learning, TensorFlow, Machine Learning, Cloud, Docker and over 7 years of experience.",2
Fresher with no significant technical experience.,0
"Experienced professional with skills in SQL, Deep Learning, Data Analysis, Machine Learning, Python and over 3 years of experience.",2
"Experienced professional with skills in Docker, Python, Deep Learning, TensorFlow, PyTorch and over 8 years of experience.",2
Looking for job opportunity with no significant technical experience.,0
Fresher with no significant technical experience.,0
"Experienced professional with skills in Docker, PyTorch, Cloud, SQL, TensorFlow and over 4 years of experience.",2
Looking for job opportunity with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in PyTorch, SQL, Docker, TensorFlow, Deep Learning and over 5 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of Java, JavaScript, Basic Python, HTML seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in Cloud, Machine Learning, Deep Learning, Data Analysis, SQL and over 3 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of Excel, C++, Communication, C seeking entry level opportunity.",1
"Graduate with knowledge of JavaScript, Java, C++, Excel seeking entry level opportunity.",1
"Graduate with knowledge of CSS, Basic Python, C++, Java seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of C++, Excel, Basic Python, Communication seeking entry level opportunity.",1
"Experienced professional with skills in PyTorch, Python, Data Analysis, Machine Learning, Deep Learning and over 7 years of experience.",2
"Experienced professional with skills in SQL, Python, Deep Learning, Machine Learning, Cloud and over 9 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in PyTorch, Data Analysis, TensorFlow, Machine Learning, Cloud and over 5 years of experience.",2
"Experienced professional with skills in Deep Learning, Data Analysis, Cloud, SQL, Machine Learning and over 3 years of experience.",2
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in NLP, Python, Cloud, PyTorch, SQL and over 5 years of experience.",2
Interested in IT field with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Machine Learning, NLP, SQL, Data Analysis, Python and over 9 years of experience.",2
"Graduate with knowledge of Communication, Excel, C, CSS seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of Communication, Basic Python, Excel, Java seeking entry level opportunity.",1
"Experienced professional with skills in Deep Learning, TensorFlow, SQL, Machine Learning, PyTorch and over 5 years of experience.",2
"Graduate with knowledge of HTML, Excel, C, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of Basic Python, Excel, JavaScript, Communication seeking entry level opportunity.",1
"Experienced professional with skills in Machine Learning, PyTorch, TensorFlow, SQL, Data Analysis and over 9 years of experience.",2
"Graduate with knowledge of C++, Basic Python, CSS, JavaScript seeking entry level opportunity.",1
"Graduate with knowledge of C, C++, Basic Python, JavaScript seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
"Graduate with knowledge of Basic Python, Excel, Communication, JavaScript seeking entry level opportunity.",1
"Experienced professional with skills in NLP, PyTorch, Docker, Cloud, Deep Learning and over 6 years of experience.",2
"Experienced professional with skills in TensorFlow, Python, NLP, Docker, SQL and over 10 years of experience.",2
"Graduate with knowledge of JavaScript, CSS, C++, Java seeking entry level opportunity.",1
"Experienced professional with skills in Cloud, Data Analysis, NLP, Machine Learning, Deep Learning and over 5 years of experience.",2
Fresher with no significant technical experience.,0
"Graduate with knowledge of HTML, Java, C, CSS seeking entry level opportunity.",1
"Graduate with knowledge of Communication, HTML, Java, JavaScript seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in PyTorch, Cloud, Deep Learning, NLP, SQL and over 8 years of experience.",2
"Graduate with knowledge of JavaScript, Communication, C++, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of Java, Excel, CSS, HTML seeking entry level opportunity.",1
"Experienced professional with skills in Machine Learning, SQL, Deep Learning, NLP, TensorFlow and over 4 years of experience.",2
"Experienced professional with skills in Machine Learning, TensorFlow, SQL, Data Analysis, Deep Learning and over 3 years of experience.",2
"Experienced professional with skills in Data Analysis, Cloud, NLP, Docker, Deep Learning and over 6 years of experience.",2
"Experienced professional with skills in Deep Learning, PyTorch, Python, Data Analysis, Cloud and over 6 years of experience.",2
Fresher with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in Docker, Cloud, Machine Learning, Deep Learning, Python and over 6 years of experience.",2
Fresher with no significant technical experience.,0
"Graduate with knowledge of Java, C, HTML, Excel seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of HTML, C, Communication, CSS seeking entry level opportunity.",1
"Graduate with knowledge of CSS, Excel, Communication, Java seeking entry level opportunity.",1
"Graduate with knowledge of HTML, Communication, Basic Python, Java seeking entry level opportunity.",1
"Graduate with knowledge of C++, CSS, Basic Python, C seeking entry level opportunity.",1
"Graduate with knowledge of JavaScript, Excel, Communication, HTML seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
"Experienced professional with skills in NLP, TensorFlow, Docker, Deep Learning, Cloud and over 6 years of experience.",2
"Experienced professional with skills in Machine Learning, SQL, PyTorch, Python, Deep Learning and over 6 years of experience.",2
"Experienced professional with skills in Python, Data Analysis, NLP, TensorFlow, PyTorch and over 5 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
Fresher with no significant technical experience.,0
"Graduate with knowledge of JavaScript, C++, CSS, Excel seeking entry level opportunity.",1
"Experienced professional with skills in Machine Learning, SQL, Cloud, Deep Learning, TensorFlow and over 5 years of experience.",2
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of Communication, HTML, C++, C seeking entry level opportunity.",1
"Experienced professional with skills in Deep Learning, Docker, SQL, Cloud, PyTorch and over 3 years of experience.",2
Interested in IT field with no significant technical experience.,0
Fresher with no significant technical experience.,0
"Experienced professional with skills in TensorFlow, PyTorch, SQL, Data Analysis, Cloud and over 7 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in Data Analysis, Machine Learning, Cloud, NLP, Python and over 8 years of experience.",2
"Graduate with knowledge of HTML, Basic Python, CSS, Communication seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
"Graduate with knowledge of Basic Python, Java, JavaScript, Communication seeking entry level opportunity.",1
"Graduate with knowledge of Basic Python, C, Communication, Java seeking entry level opportunity.",1
"Experienced professional with skills in Deep Learning, PyTorch, Cloud, Data Analysis, SQL and over 4 years of experience.",2
"Experienced professional with skills in Machine Learning, Docker, Cloud, TensorFlow, Data Analysis and over 3 years of experience.",2
"Experienced professional with skills in Docker, Cloud, SQL, Machine Learning, Data Analysis and over 3 years of experience.",2
"Graduate with knowledge of C, HTML, Basic Python, C++ seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Cloud, Deep Learning, PyTorch, Data Analysis, Docker and over 9 years of experience.",2
"Experienced professional with skills in TensorFlow, Deep Learning, PyTorch, NLP, SQL and over 9 years of experience.",2
"Graduate with knowledge of C++, HTML, Excel, Communication seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
"Experienced professional with skills in PyTorch, SQL, Docker, TensorFlow, Data Analysis and over 3 years of experience.",2
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of JavaScript, Communication, Java, Basic Python seeking entry level opportunity.",1
"Experienced professional with skills in Docker, PyTorch, SQL, Data Analysis, Deep Learning and over 4 years of experience.",2
"Experienced professional with skills in Python, Deep Learning, Machine Learning, SQL, NLP and over 9 years of experience.",2
"Graduate with knowledge of Java, Communication, HTML, CSS seeking entry level opportunity.",1
"Experienced professional with skills in Python, NLP, Deep Learning, PyTorch, Cloud and over 5 years of experience.",2
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of Basic Python, C, Java, JavaScript seeking entry level opportunity.",1
"Experienced professional with skills in TensorFlow, Deep Learning, Data Analysis, PyTorch, Cloud and over 6 years of experience.",2
"Graduate with knowledge of Communication, Java, Basic Python, JavaScript seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in Docker, Python, Data Analysis, Machine Learning, SQL and over 5 years of experience.",2
"Experienced professional with skills in NLP, Docker, Cloud, SQL, Deep Learning and over 6 years of experience.",2
"Graduate with knowledge of Excel, Basic Python, Java, C seeking entry level opportunity.",1
"Graduate with knowledge of Communication, CSS, Java, C++ seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of Java, Communication, CSS, C++ seeking entry level opportunity.",1
"Graduate with knowledge of C++, Excel, JavaScript, C seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of Java, C++, HTML, CSS seeking entry level opportunity.",1
"Experienced professional with skills in Cloud, Machine Learning, PyTorch, Docker, Deep Learning and over 9 years of experience.",2
"Experienced professional with skills in SQL, NLP, PyTorch, Docker, Python and over 7 years of experience.",2
Fresher with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Python, TensorFlow, PyTorch, Docker, NLP and over 10 years of experience.",2
"Experienced professional with skills in Python, Data Analysis, PyTorch, NLP, Deep Learning and over 8 years of experience.",2
"Graduate with knowledge of C, C++, Communication, CSS seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of CSS, JavaScript, Java, C++ seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of Basic Python, JavaScript, Excel, CSS seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
Fresher with no significant technical experience.,0
"Experienced professional with skills in PyTorch, Data Analysis, SQL, TensorFlow, Docker and over 10 years of experience.",2
"Experienced professional with skills in PyTorch, Deep Learning, Data Analysis, SQL, NLP and over 7 years of experience.",2
"Experienced professional with skills in Python, SQL, Cloud, Data Analysis, NLP and over 7 years of experience.",2
"Experienced professional with skills in Deep Learning, Python, TensorFlow, Machine Learning, Cloud and over 9 years of experience.",2
Fresher with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of Basic Python, Communication, Java, HTML seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of HTML, CSS, C++, C seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
Fresher with no significant technical experience.,0
"Experienced professional with skills in Python, Machine Learning, SQL, Docker, NLP and over 3 years of experience.",2
"Graduate with knowledge of Java, Excel, C++, CSS seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of JavaScript, Excel, C++, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of Basic Python, Excel, C++, CSS seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Docker, TensorFlow, SQL, Python, Deep Learning and over 9 years of experience.",2
"Experienced professional with skills in PyTorch, SQL, Machine Learning, Python, Deep Learning and over 4 years of experience.",2
"Graduate with knowledge of C, C++, Basic Python, CSS seeking entry level opportunity.",1
"Experienced professional with skills in TensorFlow, Machine Learning, PyTorch, Docker, Deep Learning and over 9 years of experience.",2
"Experienced professional with skills in Machine Learning, Data Analysis, NLP, TensorFlow, SQL and over 4 years of experience.",2
"Graduate with knowledge of JavaScript, Communication, C++, HTML seeking entry level opportunity.",1
"Experienced professional with skills in SQL, PyTorch, Docker, Python, Machine Learning and over 8 years of experience.",2
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in Data Analysis, Docker, SQL, Deep Learning, Machine Learning and over 9 years of experience.",2
"Experienced professional with skills in NLP, Docker, Deep Learning, Python, Data Analysis and over 5 years of experience.",2
"Graduate with knowledge of Excel, Java, Basic Python, C++ seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
"Experienced professional with skills in TensorFlow, Data Analysis, Docker, PyTorch, Machine Learning and over 8 years of experience.",2
"Experienced professional with skills in Deep Learning, Machine Learning, TensorFlow, SQL, PyTorch and over 3 years of experience.",2
Fresher with no significant technical experience.,0
"Experienced professional with skills in Data Analysis, SQL, Machine Learning, TensorFlow, PyTorch and over 4 years of experience.",2
Fresher with no significant technical experience.,0
"Experienced professional with skills in NLP, Docker, Machine Learning, TensorFlow, Cloud and over 9 years of experience.",2
"Graduate with knowledge of Basic Python, HTML, CSS, Excel seeking entry level opportunity.",1
"Experienced professional with skills in PyTorch, SQL, Deep Learning, Cloud, NLP and over 3 years of experience.",2
"Experienced professional with skills in Deep Learning, PyTorch, Docker, Python, TensorFlow and over 7 years of experience.",2
Interested in IT field with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in SQL, Python, NLP, TensorFlow, PyTorch and over 3 years of experience.",2
"Graduate with knowledge of Communication, HTML, C, Java seeking entry level opportunity.",1
"Graduate with knowledge of Basic Python, Communication, JavaScript, HTML seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of Java, C, HTML, Excel seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Docker, TensorFlow, PyTorch, NLP, Python and over 10 years of experience.",2
"Graduate with knowledge of C++, JavaScript, Communication, HTML seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of C, Communication, C++, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of C, JavaScript, Basic Python, CSS seeking entry level opportunity.",1
"Experienced professional with skills in Cloud, NLP, Machine Learning, Data Analysis, TensorFlow and over 8 years of experience.",2
"Graduate with knowledge of C++, Basic Python, Communication, HTML seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of HTML, C, Basic Python, Java seeking entry level opportunity.",1
"Experienced professional with skills in Data Analysis, Machine Learning, Python, Docker, Cloud and over 3 years of experience.",2
"Graduate with knowledge of Communication, Basic Python, C, C++ seeking entry level opportunity.",1
"Experienced professional with skills in TensorFlow, Machine Learning, SQL, Python, NLP and over 7 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of JavaScript, C++, CSS, Excel seeking entry level opportunity.",1
"Graduate with knowledge of Communication, C, CSS, Java seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of Communication, Java, Excel, C++ seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
"Experienced professional with skills in Docker, Python, Data Analysis, Cloud, PyTorch and over 8 years of experience.",2
Looking for job opportunity with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of Excel, HTML, JavaScript, C++ seeking entry level opportunity.",1
"Graduate with knowledge of HTML, C++, Java, JavaScript seeking entry level opportunity.",1
"Experienced professional with skills in PyTorch, NLP, SQL, Machine Learning, Deep Learning and over 10 years of experience.",2
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in Python, Machine Learning, Deep Learning, Docker, SQL and over 5 years of experience.",2
"Graduate with knowledge of C++, C, CSS, HTML seeking entry level opportunity.",1
"Graduate with knowledge of Basic Python, C++, HTML, Excel seeking entry level opportunity.",1
"Experienced professional with skills in Machine Learning, Cloud, SQL, Docker, PyTorch and over 9 years of experience.",2
"Graduate with knowledge of C, C++, HTML, Basic Python seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in Deep Learning, Python, SQL, TensorFlow, Docker and over 10 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Machine Learning, Data Analysis, Docker, NLP, Python and over 3 years of experience.",2
"Graduate with knowledge of C++, HTML, JavaScript, Basic Python seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of C++, JavaScript, Excel, CSS seeking entry level opportunity.",1
"Graduate with knowledge of C++, Basic Python, Excel, Java seeking entry level opportunity.",1
"Graduate with knowledge of Excel, CSS, Basic Python, C++ seeking entry level opportunity.",1
"Experienced professional with skills in Cloud, Docker, Data Analysis, TensorFlow, SQL and over 6 years of experience.",2
"Experienced professional with skills in TensorFlow, Python, Cloud, Deep Learning, NLP and over 6 years of experience.",2
"Graduate with knowledge of C, CSS, HTML, Java seeking entry level opportunity.",1
"Graduate with knowledge of C, JavaScript, CSS, Basic Python seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of JavaScript, C++, HTML, C seeking entry level opportunity.",1
"Graduate with knowledge of CSS, HTML, Communication, C++ seeking entry level opportunity.",1
"Graduate with knowledge of CSS, Excel, C, HTML seeking entry level opportunity.",1
"Graduate with knowledge of Basic Python, HTML, CSS, Excel seeking entry level opportunity.",1
"Graduate with knowledge of Java, C, CSS, JavaScript seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Machine Learning, Data Analysis, PyTorch, Cloud, TensorFlow and over 4 years of experience.",2
"Graduate with knowledge of HTML, Basic Python, JavaScript, C++ seeking entry level opportunity.",1
"Experienced professional with skills in Python, Machine Learning, Data Analysis, Docker, TensorFlow and over 9 years of experience.",2
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of C++, JavaScript, Communication, Excel seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
"Graduate with knowledge of Basic Python, Excel, Communication, Java seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Experienced professional with skills in SQL, Data Analysis, Deep Learning, PyTorch, NLP and over 5 years of experience.",2
"Experienced professional with skills in TensorFlow, Docker, SQL, Cloud, Deep Learning and over 5 years of experience.",2
"Graduate with knowledge of C, Basic Python, Excel, Communication seeking entry level opportunity.",1
"Experienced professional with skills in Machine Learning, Data Analysis, TensorFlow, Docker, Deep Learning and over 9 years of experience.",2
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of C++, CSS, C, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of C++, Java, Basic Python, CSS seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of Excel, C++, CSS, HTML seeking entry level opportunity.",1
"Experienced professional with skills in Machine Learning, PyTorch, Deep Learning, Cloud, Data Analysis and over 8 years of experience.",2
"Graduate with knowledge of JavaScript, Excel, C++, HTML seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of C, JavaScript, Excel, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of Excel, Communication, Basic Python, Java seeking entry level opportunity.",1
"Graduate with knowledge of Basic Python, C++, C, HTML seeking entry level opportunity.",1
"Experienced professional with skills in PyTorch, TensorFlow, SQL, Cloud, Docker and over 8 years of experience.",2
"Experienced professional with skills in Docker, TensorFlow, Deep Learning, Python, Machine Learning and over 9 years of experience.",2
"Experienced professional with skills in Docker, Cloud, Data Analysis, SQL, Python and over 6 years of experience.",2
"Graduate with knowledge of Excel, C, Java, CSS seeking entry level opportunity.",1
"Graduate with knowledge of C++, CSS, JavaScript, Excel seeking entry level opportunity.",1
"Experienced professional with skills in Docker, TensorFlow, Python, Machine Learning, NLP and over 10 years of experience.",2
"Experienced professional with skills in NLP, Cloud, Machine Learning, Data Analysis, PyTorch and over 9 years of experience.",2
"Graduate with knowledge of C++, C, Communication, CSS seeking entry level opportunity.",1
"Graduate with knowledge of CSS, Basic Python, HTML, Java seeking entry level opportunity.",1
"Experienced professional with skills in TensorFlow, Deep Learning, Data Analysis, Machine Learning, Python and over 4 years of experience.",2
"Graduate with knowledge of C, JavaScript, Communication, Java seeking entry level opportunity.",1
"Experienced professional with skills in Python, Deep Learning, PyTorch, Machine Learning, Data Analysis and over 7 years of experience.",2
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of Communication, Java, C, HTML seeking entry level opportunity.",1
Interested in IT field with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Graduate with knowledge of CSS, HTML, JavaScript, C seeking entry level opportunity.",1
"Graduate with knowledge of CSS, Excel, Communication, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of JavaScript, HTML, CSS, Excel seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
Fresher with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
